"","","","2019","","","","","","2020","","","","","","2021","","",""
"","Applied","","Admitted","","Enrolled","","Applied","","Admitted","","Enrolled","","Applied","","Admitted","","Enrolled",""
"Application","","","","","","","","","","","","","","","","","",""
"","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Origination","","","","","","","","","","","","","","","","","",""
"Null","58","23%","54","25%","34","27%","27","12%","26","13%","13","7%","57","21%","56","23%","44","27%"
"NCMentor","141","55%","116","54%","63","51%","138","60%","120","60%","68","34%","132","48%","112","46%","65","40%"
"Web Event","58","23%","43","20%","27","22%","66","29%","55","27%","119","60%","15","5%","14","6%","9","5%"
"Web","-","0%","","0%","","0%","","0%","","0%","","0%","70","26%","64","26%","46","28%"
"Manual","-","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%"
"CBCA","-","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%"
"Paper","-","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%"
"Total Count","257","100%","213","100%","124","100%","231","100%","201","100%","200","100%","274","100%","246","100%","164","100%"
