"","","","2019","","","","","","2020","","","","","","2021","","",""
"","Applied","","Admitted","","Enrolled","","Applied","","Admitted","","Enrolled","","Applied","","Admitted","","Enrolled",""
"Application","","","","","","","","","","","","","","","","","",""
"","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Origination","","","","","","","","","","","","","","","","","",""
"Null","86","11%","62","15%","39","16%","100","12%","88","17%","63","21%","196","16%","108","20%","59","19%"
"NCMentor","514","66%","254","63%","150","60%","335","41%","196","38%","111","37%","342","29%","124","23%","68","22%"
"Web Event","175","23%","85","21%","60","24%","379","46%","228","44%","129","42%","120","10%","51","10%","35","11%"
"Web","-","0%","","0%","","0%","3","0%","1","0%","1","0%","426","36%","232","44%","152","48%"
"Manual","","0%","","0%","","0%","1","0%","1","0%","-","0%","","0%","","0%","","0%"
"CBCA","","0%","","0%","","0%","","0%","","0%","","0%","115","10%","14","3%","2","1%"
"Paper","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%","","0%"
"Total Count","775","100%","401","100%","249","100%","818","100%","514","100%","304","100%","1,199","100%","529","100%","316","100%"
