"","","","","","","","","","Freshman","","","","","","","","",""
"","","","2019","","","","","","2020","","","","","","2021","","",""
"","Applied","","Admitted","","Enrolled","","Applied","","Admitted","","Enrolled","","Applied","","Admitted","","Enrolled",""
"Application","","","","","","","","","","","","","","","","","",""
"","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Origination","","","","","","","","","","","","","","","","","",""
"Null","99","3%","55","3%","28","6%","39","1%","26","1%","11","3%","44","1%","32","1%","14","4%"
"NCMentor","2,969","87%","1,518","88%","369","83%","2,437","85%","1,672","85%","337","82%","2,368","50%","1,617","61%","266","74%"
"Web Event","364","11%","149","9%","49","11%","394","14%","271","14%","65","16%","102","2%","45","2%","6","2%"
"Web","","0%","","0%","","0%","2","0%","-","0%","-","0%","252","5%","116","4%","51","14%"
"Manual","","0%","","0%","","0%","","0%","","0%","","0%","2","0%","1","0%","-","0%"
"CBCA","","0%","","0%","","0%","","0%","","0%","","0%","1,952","41%","838","32%","23","6%"
"Paper","","0%","","0%","","0%","","0%","","0%","","0%","1","0%","1","0%","1","0%"
"Total Count","3,432","100%","1,722","100%","446","100%","2,872","100%","1,969","100%","413","100%","4,721","100%","2,650","100%","361","100%"
